caller,callee,file,verified,correct,notes
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/oracle/vector.py::VECTOR.process,isinstance,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/oracle/vector.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/bulk_persistence.py::_BulkORMUpdate.orm_execute_statement,_result.Result,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/bulk_persistence.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/state.py::InstanceState._detach,InstanceState._detach_states,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/state.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/ext/automap.py::AutomapBase.prepare,table.name,real_benchmarks/sqlalchemy/lib/sqlalchemy/ext/automap.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/engine/base.py::Connection._handle_dbapi_exception,Connection.dialect,real_benchmarks/sqlalchemy/lib/sqlalchemy/engine/base.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/ext/serializer.py::Serializer.persistent_id,pickle.dumps,real_benchmarks/sqlalchemy/lib/sqlalchemy/ext/serializer.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/postgresql/asyncpg.py::AsyncAdapt_asyncpg_dbapi._asyncpg_error_translate,AsyncAdapt_asyncpg_dbapi.InterfaceError,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/postgresql/asyncpg.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/pool/base.py::_ConnectionFairy._checkin,_ConnectionFairy._echo,real_benchmarks/sqlalchemy/lib/sqlalchemy/pool/base.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/engine/default.py::DefaultDialect._gen_allowed_isolation_levels,util.memoized_instancemethod,real_benchmarks/sqlalchemy/lib/sqlalchemy/engine/default.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mysql/base.py::MySQLDDLCompiler.visit_set_column_comment,MySQLDDLCompiler.preparer.format_table,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mysql/base.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mssql/base.py::MSExecutionContext._opt_encode,MSExecutionContext.compiled.schema_translate_map,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mssql/base.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/strategy_options.py::_TokenStrategyLoad._init_path,sa_exc.ArgumentError,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/strategy_options.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/schema.py::Column._set_parent,Column.index,real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/schema.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/schema.py::ForeignKey._set_table,ForeignKey._resolve_colspec_argument,real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/schema.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/relationships.py::RelationshipProperty.merge,impl.get_collection,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/relationships.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/unitofwork.py::UOWTransaction._generate_actions,UOWTransaction.dependencies,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/unitofwork.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/ext/indexable.py::index_property.fset,index_property.datatype,real_benchmarks/sqlalchemy/lib/sqlalchemy/ext/indexable.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mssql/pyodbc.py::_ms_numeric_pyodbc._large_dec_to_string,join,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mssql/pyodbc.py,,,
